Video Title,Published Date,Views,Likes,Comments
Go Global Western Europe,2022-07-29T16:20:15Z,1240,23,3
Join us for the 2022 Code Jam World Finals,2022-07-29T10:00:36Z,5131,164,2
Tips from the 2022 Solution Challenge finalists,2022-07-28T18:01:33Z,5595,126,5
Solution Challenge Demo Day 2022 Project: SIGNify,2022-07-28T18:00:42Z,4264,73,2
Solution Challenge Demo Day 2022 Project: Xtrinsic,2022-07-28T17:59:14Z,4197,96,1
Solution Challenge Demo Day 2022 Project: SaveONE life,2022-07-28T17:58:43Z,2898,48,1
Solution Challenge Demo Day 2022 Project: BloodCall,2022-07-28T17:58:14Z,6061,96,2
Solution Challenge Demo Day 2022 Project: Starvelp,2022-07-28T17:57:29Z,5062,79,2
Solution Challenge Demo Day 2022 Project: GetWage,2022-07-28T17:56:53Z,4265,101,3
Solution Challenge Demo Day 2022 Project: Blossom,2022-07-28T17:56:20Z,6511,96,1
Solution Challenge Demo Day 2022 Project: Isak,2022-07-28T17:55:37Z,3407,18,2
Solution Challenge Demo Day 2022 Project: Zero-zone,2022-07-28T17:55:00Z,4841,45,2
Solution Challenge Demo Day 2022 Project: Gateway,2022-07-28T17:54:31Z,4523,42,1
2022 Solution Challenge Demo Day,2022-07-28T17:27:58Z,46995,1012,17
Conversational Actions sunset FAQs,2022-07-27T16:00:16Z,3202,86,10
Last Android 13 Beta update before the official release #Shorts,2022-07-22T21:00:02Z,4991,154,3
"Updates to Jetpack Compose libraries, announcements, and more dev news!",2022-07-21T21:00:15Z,4385,134,6
What the Conversational Actions sunset means for Google Assistant,2022-07-21T16:00:26Z,3996,79,16
2022 Solution Challenge Demo Day Announced! #Shorts,2022-07-15T21:00:29Z,7010,185,5
"2022 Solution Challenge Demo Day, Updates to Firebase Crashlytics, and more dev news!",2022-07-14T21:00:00Z,4489,129,14
How to use Google Assistant with Android,2022-07-14T16:00:12Z,9054,161,8
Put your hacking skills to the test with Capture The Flag competition #Shorts,2022-07-01T21:00:27Z,11586,443,5
"New Chrome features, Kick Start Round D, and more dev news!",2022-06-30T21:00:03Z,7160,174,5
Coding Practice with Kick Start: Session #2 problem walkthroughs,2022-06-30T15:00:11Z,10689,242,29
Celebrate 300 episodes of DevShow with us! #Shorts,2022-06-27T21:00:21Z,5678,153,4
Join us for the Google Developer Student Clubs 2022 Solution Challenge!,2022-06-27T16:00:25Z,4861,165,11
"300th Episode special, Privacy Sandbox dev preview 3, and more dev news!",2022-06-23T21:00:09Z,4389,132,11
Calling all women founded startups in India #Shorts,2022-06-17T21:00:04Z,4414,111,5
"Cloud Applied ML Summit, expanding console games to mobile, and more dev news",2022-06-16T21:00:03Z,3129,94,8
GCP Vulnerability Rewards Program winners are here! #Shorts,2022-06-10T21:00:11Z,5708,133,1
"Angular v14 now available, Document AI, and more dev news",2022-06-09T21:00:13Z,7448,256,11
Using the Google Home Sample App for Matter to commission and share devices,2022-06-06T17:07:15Z,12707,174,17
Hash Code 2022 Qualification Round Livestream,2022-06-02T12:05:18Z,7510,186,2
Build AI projects with the AIY Maker Kit #Shorts,2022-05-28T00:00:10Z,5236,159,5
Why Clerk chose a .dev domain name,2022-05-27T18:00:11Z,1752,31,3
Why Netlify chose a .app domain name,2022-05-27T18:00:04Z,6112,168,12
"DIY AI projects, self-serving maintenance, and more dev news",2022-05-26T21:00:24Z,4810,153,7
The story behind web.dev,2022-05-23T19:44:21Z,1432,27,2
"Interview with Roman Jaquez, contributor to Google's Dev Library",2022-05-23T19:00:06Z,2290,62,7
Firebase I/O 2022 announcements #Shorts,2022-05-20T21:00:00Z,4312,109,3
"Interview with Majid Hajian, contributor to Google's Dev Library",2022-05-20T15:00:09Z,2526,72,7
"Cloud Applied ML Summit, Airbnb case study, and more dev news!",2022-05-19T21:00:05Z,3061,114,4
What is Secondary User Verification (SUV) for Smart Home?,2022-05-18T16:00:16Z,3431,63,8
How to develop a Matter device for Google Home | Google Developers,2022-05-17T21:00:23Z,22755,244,16
Google I/O 2022 recap #Shorts,2022-05-17T16:00:17Z,7593,242,4
[Audio Described] Developer Keynote (Google I/O '22),2022-05-17T00:25:25Z,6826,107,3
The Google Developer Experts program,2022-05-16T16:00:34Z,25115,664,28
"What's new in AR, Flutter, Android, and more Google I/O 2022 announcements",2022-05-13T16:00:31Z,10929,298,13
Introduction to counter-abuse technology at Google,2022-05-13T00:00:52Z,7283,116,16
"Building, testing, and deploying smart home devices for Google Home",2022-05-12T22:02:08Z,9262,104,5
Deep-dive on ARCore | Fundamentals of designing AR apps with machine learning models,2022-05-12T20:04:01Z,27473,391,17
Build location-based augmented reality with ARCore geospatial API,2022-05-12T18:02:05Z,37296,709,30
Analytics and tools to step up your Google Home projects,2022-05-12T16:20:55Z,1594,30,2
Building smart home apps with Google Home Mobile SDK,2022-05-12T16:19:21Z,9248,72,4
Improve the web experience for the internet's newest users,2022-05-12T16:17:38Z,2347,50,2
Africa’s booming developer ecosystem,2022-05-12T16:16:03Z,1971,60,4
The importance of representative data,2022-05-12T16:14:26Z,2842,18,0
Google Assistant functionality across Android devices,2022-05-12T16:05:45Z,15020,90,3
Accessibility 101: Getting started with assistive technology and product inclusion,2022-05-12T16:04:44Z,6367,78,1
Google material design framework: Building more accessible experiences | Google I/O,2022-05-12T16:04:20Z,9231,226,7
How Google Assistant's architecture powers voice features in your apps,2022-05-12T16:03:26Z,5807,96,7
How to meet your business objectives with Google Analytics 4,2022-05-12T16:01:32Z,9416,124,9
Google I/O 2022 Developer Keynote in 8 minutes,2022-05-11T21:46:53Z,14672282,1476,71
What's new in Google Home,2022-05-11T21:06:13Z,16873,151,18
What's new in Google Pay,2022-05-11T21:04:55Z,17257,212,11
Digitize wallet objects with Google Wallet API - step-by-step tutorial | Google I/O 2022,2022-05-11T20:59:04Z,37329,248,24
What's new in Google AR,2022-05-11T20:53:27Z,26798,319,20
Build location-based AR experiences at world scale,2022-05-11T20:52:00Z,23465,436,30
Google Wallet API tutorial for Google Developers | Google I/O 2022,2022-05-11T20:47:42Z,69263,552,60
Developer Keynote (Google I/O '22) — American Sign Language,2022-05-11T20:25:51Z,42457,0,17
Developer Keynote (Google I/O '22),2022-05-11T20:24:46Z,198200,0,83
What's new in Google Pay - American Sign Language,2022-05-11T20:20:37Z,1870,48,2
Connect after I/O with I/O Extended events,2022-05-09T15:00:08Z,5615,165,3
Get ready for Google I/O 2022 #Shorts,2022-05-06T21:00:12Z,4592,138,5
Seek out your next Adventure at Google I/O 2022!,2022-05-06T16:00:13Z,13579,367,19
"I/O 2022 schedule, Women Techmakers I/O reception, and more I/O news",2022-05-05T21:00:14Z,4155,147,11
Learn cutting-edge technologies with Google Developer Groups,2022-05-05T15:00:21Z,23674,268,10
How to implement the Report State API for Smart Home,2022-05-04T16:00:21Z,2421,48,7
The Hash Code 2022 World Finals are a wrap!,2022-05-02T13:00:15Z,6289,122,9
Recognize video actions with MoViNets #Shorts,2022-04-29T21:00:23Z,4521,124,3
"Twitter Android dev story, Flutter Puzzle Hack winners, and more dev news!",2022-04-28T21:00:00Z,3620,126,5
Find your community at Google I/O,2022-04-27T21:00:12Z,2973,98,5
How to integrate the Smart Home API with your devices,2022-04-27T16:00:25Z,11140,136,6
Google Cloud Speech AI Guide #Shorts,2022-04-22T21:00:18Z,13051,293,11
Climbing up the slope of enlightenment in AI and ML,2022-04-22T15:00:26Z,8239,319,63
"Automate workflow, Speech AI guide, and more dev news!",2022-04-21T21:00:03Z,3883,134,10
Principles behind neural networks and one hot encoding,2022-04-21T15:00:45Z,15917,513,31
Device types and traits for Smart Home,2022-04-20T21:00:30Z,2876,64,5
Introduction to artificial ML neural networks,2022-04-20T15:00:02Z,12604,513,38
Join us for the Google Summer of Code #Shorts,2022-04-19T21:00:32Z,6483,316,3
Machine Learning basics,2022-04-19T15:00:21Z,29241,924,48
AI and the Gartner Hype Cycle,2022-04-18T21:00:12Z,25798,1084,75
"Google Summer of Code, Google Play, and more dev news!",2022-04-14T21:00:10Z,6267,226,11
Getting started with connectivity devices for Google Home,2022-04-13T23:00:15Z,2925,78,3
Become a Lead for Google Developers Student Clubs #Shorts,2022-04-12T16:00:18Z,16142,751,11
"Kick Start Round B, GDSC Lead applications,  and more dev news",2022-04-07T21:00:09Z,4202,100,6
How to enable environmental home controls for Google Assistant,2022-04-06T16:00:02Z,2574,61,4
"International Women’s Day India Summit, Jetpack Core performance library, and more dev news",2022-03-31T21:00:13Z,3396,77,7
Apply to lead Google Developer Student Clubs,2022-03-31T15:00:08Z,11987,126,2
"Data Cloud Summit 2022, Google Forms API, and more dev news",2022-03-24T21:00:14Z,6871,221,11
Getting started with security-devices,2022-03-23T16:00:01Z,3480,91,6
"Code Jam Coding Competition, App Excellence Summit 2022, and more dev news",2022-03-17T21:00:09Z,7820,318,18
Getting Started With Smart Switches,2022-03-16T16:09:59Z,4397,109,7
Top 7 Stadia announcements from Google for Games Developer Summit,2022-03-15T19:03:11Z,228024,379,54
Performance profiling solutions on Stadia,2022-03-15T17:04:16Z,14896,145,6
Stadia Adventures in slow server code on Unity,2022-03-15T17:04:04Z,1308,41,5
How to write a Windows emulator for Linux from scratch,2022-03-15T17:03:52Z,10392,271,37
Play testing made easy on Stadia,2022-03-15T17:03:26Z,3119,94,15
Google for Games Developer Summit 2022 Keynote,2022-03-15T15:58:19Z,46926,765,67
"Interview with Shai Reznik, contributor to Google's Dev Library",2022-03-14T19:02:09Z,679,16,0
"Interview with Anna (Domashych) Leushchenko, contributor to Google's Dev Library",2022-03-14T19:00:49Z,4259,110,13
"Google for Games, Chrome 100, and more dev news",2022-03-10T22:00:19Z,5310,170,5
Code Jam 2022 is here,2022-03-01T19:00:12Z,36717,825,42
Getting to know Earth Engine for Solution Challenge,2022-02-18T16:11:45Z,3154,50,5
Coding Practice with Kick Start 2022 – Session #1 problem walkthroughs,2022-02-18T03:00:12Z,46588,744,53
"Google Summer of Code 2022, Android 13, and more dev news!",2022-02-17T21:00:58Z,5620,226,14
Hash Code 2022 is almost here!,2022-02-17T11:00:29Z,5781,152,13
Welcome to Coding Practice with Kick Start 2022!,2022-02-14T16:00:28Z,61487,1035,45
"Kick Start Coding Competition, Google Earth Engine, and more dev news!",2022-02-10T22:00:13Z,7611,274,7
"Announcing Glance, improve app performance, year in review and more dev news!",2022-02-03T22:00:11Z,11314,357,15
Kick Start 2022 is here! Join us today!,2022-02-01T11:00:26Z,41794,1286,30
"Build your own Flutter slide puzzle, Google Play Games, Pictle, and more dev news!",2022-01-27T22:00:55Z,10340,326,14
What is .day?,2022-01-25T17:43:22Z,13290,146,15
2022 Solution Challenge: Global kick-off event,2022-01-21T18:00:07Z,9794,248,18
"Road to GDE, learn Google Cloud for free, and more dev news!",2022-01-20T22:00:09Z,8321,271,15
"Flutter Puzzle Hack, Google’s Coding Competitions, and more dev news!",2022-01-13T22:00:02Z,15196,529,20
Matter Developer Tools: Testing,2022-01-12T00:01:59Z,1792,30,2
Matter Developer Tools: IDE setup,2022-01-12T00:00:04Z,6862,112,2
2022 Solution Challenge: Example project,2022-01-11T17:32:57Z,17820,421,8
2022 Solution Challenge: Brainstorming ideas,2022-01-11T17:32:52Z,10312,276,8
Google Developer Student Clubs 2022 Solution Challenge,2022-01-11T17:30:18Z,11491,303,9
Matter Developer Tools: Tools overview,2022-01-11T17:00:35Z,1586,14,1
Matter Developer Tools: IDE overview,2022-01-11T17:00:05Z,1521,18,2
Hash Code 2022 - Join us today!,2022-01-10T11:00:36Z,37675,902,73
"Google Cloud’s top blogs, Designcember, and more dev news!",2022-01-06T22:00:02Z,7238,203,11
Google Developer Home Tools: Device Access,2022-01-05T00:01:12Z,3085,47,7
Google Developer Home Tools: WebRTC,2022-01-05T00:00:24Z,6579,146,5
Google Developer Home Tools: Project quality,2022-01-04T17:00:20Z,3304,66,5
Google Developer Home Tools: Playground,2022-01-04T17:00:18Z,8643,42,6
Google’s Coding Competitions - Check out challenges for all skill levels,2022-01-04T11:00:13Z,144813,6974,100
Google Home Debugging Tools: Event logs,2021-12-29T00:00:20Z,4925,72,5
Google Home Debugging Tools: Overview,2021-12-28T17:00:38Z,3879,82,6
Google Home Debugging Tools: Monitoring and Analytics Dashboards,2021-12-28T17:00:24Z,750,14,3
Mobile Development for Matter: Device sharing in Android Apps,2021-12-22T00:00:19Z,3694,36,8
Mobile Development for Matter: Operational discovery,2021-12-22T00:00:14Z,3972,80,4
Mobile Development for Matter: Concepts,2021-12-21T17:00:14Z,4888,86,4
Mobile Development for Matter: Commissioning devices,2021-12-21T17:00:05Z,2896,17,1
Google Assistant 2021 highlights,2021-12-20T17:00:14Z,7687,169,14
"12L feature drop, Flutter 2.8, Dart 2.15, and more dev news!",2021-12-16T22:00:24Z,7077,201,8
Fostering an inclusive tech community with Evelyn Mendes #IamaGDE,2021-12-16T00:00:00Z,6667,106,11
How to integrate Android widgets with Google Assistant,2021-12-13T17:00:07Z,7972,114,8
"Jetpack Watch Face library, Datastream is GA, Bazel Con recap, and more dev news!",2021-12-09T22:00:14Z,4610,127,3
DevFest 2021: Using Web tools to uplift your community,2021-12-08T17:02:51Z,627,16,0
DevFest 2021: Must have Web tool,2021-12-08T17:02:29Z,490,15,0
DevFest 2021: The importance of community,2021-12-08T17:02:06Z,407,13,1
DevFest 2021: The importance of tech for good,2021-12-08T17:01:44Z,385,17,0
DevFest 2021: Challenges impacting developer communities,2021-12-08T17:01:06Z,442,12,1
Meet some DevFest organizers and speakers!,2021-12-08T17:00:12Z,861,28,1
"Interview with Gant Laborde, contributor to Google's Dev Library",2021-12-06T18:00:17Z,589,14,0
Apply to host a Hash Code Virtual Hub,2021-12-03T23:00:33Z,6329,129,2
[DEPRECATING] Speech Synthesis Markup Language (SSML) features for Assistant,2021-12-03T17:00:26Z,10171,281,13
"Interactive Canvas DevTools, Security Command Center, Keras Preprocessing Layers, and more!",2021-12-02T22:00:01Z,3274,81,7
"Interview with Doug Duhaime, contributor to Google's Dev Library",2021-11-30T19:46:03Z,756,16,1
Using Machine Learning for COVID-19 helpline with Krupal Modi  #IamaGDE,2021-11-30T17:00:40Z,6544,126,4
"Google Mobile Ads SDK for Flutter, ML for coral reefs, AI Business Messages, and more!",2021-11-24T22:00:29Z,4790,126,10
"Cybersecurity, Firebase Summit recap, Jetpack Compose updates, and more dev news!",2021-11-18T22:00:07Z,5016,122,5
"DevFest North America Nov 19-20, 2021 | Google Developer Groups",2021-11-18T00:00:02Z,2171,55,2
"Firebase improvements, Angular v13, Cloud Spanner, and more dev news!",2021-11-11T22:00:21Z,5577,194,15
"Android Dev Summit recap, the Go Developer Survey, BigQuery Omni, and more dev news!",2021-11-04T21:00:04Z,4386,146,5
Why Loóna chose a .app domain name,2021-11-01T21:00:58Z,4932,83,4
Why Mindshine chose a .app domain name?,2021-11-01T21:00:33Z,2518,47,0
Using technology to facilitate COVID-19 vaccinations in India with Bhavesh Bhatt #IamaGDE,2021-10-26T16:00:12Z,4318,94,8
"Google Workspace Marketplace updates, Flutter Apprentice, ML Community Day, and more!",2021-10-22T00:00:03Z,4548,123,7
Preview Mobile SDK for Matter,2021-10-21T19:18:41Z,6747,59,9
Preview the Google Home Developer Center,2021-10-21T19:18:36Z,5338,45,2
Building great experiences with Google Smart Home | Developer Keynote,2021-10-21T19:18:29Z,11022,88,8
Smart Home Summit ‘21 Welcome Keynote,2021-10-21T19:18:19Z,5887,90,3
Smart Home tools and updates,2021-10-21T19:18:00Z,2367,51,2
New developer tools for Matter,2021-10-21T19:17:58Z,2941,26,2
How to debug Smart Home | Workshop,2021-10-21T19:17:55Z,869,19,0
Embedded Onboarding preview with Google and Matter | Workshop,2021-10-21T19:17:53Z,2697,35,3
"Now in Android #48, Google’s Dev Library, Google Security, and more!",2021-10-14T21:00:33Z,5272,187,13
"Android 12 live AOSP, Dev Summits 2021, GKE workload metrics, and more!",2021-10-07T21:00:03Z,7887,194,9
Push dynamic shortcuts to Assistant,2021-09-30T16:00:11Z,7533,135,6
Creating an app to help your community with Gaston Saillen #IamaGDE,2021-09-29T17:00:32Z,5450,140,6
How to integrate Google Pay in Angular - Payments DevBytes,2021-09-28T17:00:33Z,7943,150,8
"Android permission auto-rest, Flutter Web, TensorFlow Vertex AI, and more!",2021-09-23T21:00:15Z,6735,217,7
"Android Auto, Android 12 Beta 5, Kotlin, and more!",2021-09-16T21:00:05Z,15480,223,18
App actions for Android: Capabilities and static shortcuts,2021-09-16T15:00:07Z,5686,116,3
"Now in Android #46, Google Cloud VMware Engine,  WebGPU, and more!",2021-09-09T21:00:05Z,4753,139,7
"New Firebase JS SDK  is now GA, Chrome 94 Beta, TensorFlow.js, and more!",2021-09-02T21:00:21Z,4860,161,9
How to integrate shipping in Google Pay button in React -  Payments DevBytes,2021-09-01T17:00:30Z,9527,123,11
Taking the leap to pursue a passion in Machine Learning with Leigh Johnson #IamaGDE,2021-08-31T17:00:10Z,5152,156,9
Solution Challenge Demo Day 2021 Project: E-Owl,2021-08-30T17:00:49Z,4509,57,1
Solution Challenge Demo Day 2021 Project: Game Your Fit,2021-08-30T17:00:44Z,2464,31,2
Solution Challenge Demo Day 2021 Project: Eye of God,2021-08-30T17:00:36Z,8264,132,9
Meet the 2021 Solution Challenge winners!,2021-08-30T17:00:33Z,5048,61,5
Solution Challenge Demo Day 2021 Project: DementiCare,2021-08-30T17:00:32Z,8623,76,4
Meet the 2021 Solution Challenge Demo Day judges,2021-08-30T17:00:30Z,1421,13,0
Solution Challenge Demo Day 2021 Project: SimplAR,2021-08-30T17:00:28Z,2898,44,4
Solution Challenge Demo Day 2021 Project: QRegister,2021-08-30T17:00:27Z,3660,60,2
Solution Challenge Demo Day 2021 Project: Helppier,2021-08-30T17:00:23Z,3798,34,0
Solution Challenge Demo Day 2021 trivia,2021-08-30T17:00:22Z,1193,2,1
Solution Challenge Demo Day 2021 Project: I-RISE,2021-08-30T17:00:18Z,4928,36,0
Welcome to the Demo Day 2021 with Yu Ping Chan,2021-08-30T17:00:15Z,3267,49,1
Tips from the 2021 Solution Challenge finalists,2021-08-30T17:00:13Z,3631,109,1
Solution Challenge Demo Day 2021 Project: Swaasthy,2021-08-30T17:00:08Z,4275,56,5
Introduction to Developer Student Clubs 2021 Solution Challenge Demo Day,2021-08-30T17:00:07Z,8084,101,3
Solution Challenge Demo Day 2021 Project: Flow,2021-08-30T17:00:01Z,13192,103,1
"Bazel 4.2, Cloud Run, Chrome, and more!",2021-08-27T21:00:15Z,5272,148,6
Built-in intents for App Actions,2021-08-27T14:00:11Z,9602,176,9
2021 Solution Challenge Demo Day,2021-08-26T17:25:34Z,47288,1295,10
"Android Study Jams, Android 12 Beta 4, Tiles API, and more!",2021-08-19T21:00:14Z,4935,175,5
How to integrate Google Pay in React - Payments DevBytes,2021-08-18T17:00:34Z,23800,307,15
"New features in App Check beta, large-screen UI, Google Developers India News Show",2021-08-12T21:00:31Z,7578,205,10
Join a Google Developer Student Club,2021-08-11T17:00:21Z,61761,1411,38
Join us for the Google Developer Student Clubs 2021 Solution Challenge!,2021-08-06T17:00:23Z,11363,228,8
"Android Studio Arctic Fox, Google Cloud Next ‘21, Firebase JS SDK, and more!",2021-08-05T21:15:06Z,6095,160,6
How Google Workspace’s .new shortcuts gained traction on social media,2021-08-05T20:57:25Z,984,18,1
How glitch.new helped Glitch reduce time to deployment,2021-08-05T20:57:08Z,1175,22,1
Why Adobe launched pdf.new and other shortcuts,2021-08-05T20:56:41Z,2287,61,3
Introduction to Google Identity Services,2021-08-03T17:00:18Z,97722,348,32
The ability to go global as a GDE with Evgeny Kot,2021-07-30T17:03:18Z,5452,136,15
"Android 12 Beta 3, Android Game Development Extension, Quilkin, and more!",2021-07-22T21:05:43Z,6210,189,22
"Dev updates from Android, Google for Games Developer Summit, Play Dev ID, and more!",2021-07-15T21:00:10Z,5075,158,10
Top 10 Stadia announcements from Google for Games Developer Summit,2021-07-13T20:00:01Z,7561,263,15
GameSnacks: Google's new HTML5 gaming platform,2021-07-13T17:23:10Z,31595,642,45
Connecting with gaming creators: 4 things developers should know,2021-07-13T16:53:10Z,12034,682,67
Bringing new value to Stadia partners,2021-07-13T16:38:11Z,5136,184,39
"Less time porting and certing, more time creating",2021-07-13T16:13:11Z,8062,284,16
Stadia Keynote,2021-07-13T15:58:09Z,35778,550,68
"Dev updates from Coral, Google for Games Developer Summit, Maps Platform JavaScript API, and more!",2021-07-01T21:42:30Z,5740,165,6
"Android for Cars App library, Ubuntu Pro on Google Cloud, Tau VMs, and more dev news!",2021-06-24T21:01:03Z,6261,179,8
Integration tips with Google Pay #AskGooglePayDevs,2021-06-23T16:17:04Z,10925,171,26
"AppSearch in Jetpack, Android 12 beta 2 update, Chrome OS’s release cycle, and more!",2021-06-17T21:03:19Z,10533,227,9
"Chrome 92 beta, Open Source Insights, Smart Home notifications, and more!",2021-06-10T21:00:07Z,6906,198,13
Visual tickets on Google Pay,2021-06-04T23:00:01Z,28564,225,14
Improving the developer experience with Google Pay,2021-06-04T15:00:02Z,7737,100,3
"Google for Games Developer Summit 2021, Google Play indie games, Cloud TPU VMs, and more!",2021-06-03T21:00:16Z,5422,205,8
Smart Home proactive notifications and follow-up responses,2021-06-03T15:28:21Z,9737,118,6
"What’s new in Android, Firebase, Flutter, TensorFlow, and much more from Google I/O 2021",2021-05-27T22:22:04Z,13435,476,10
Autofill with Google Pay,2021-05-26T23:02:05Z,14107,166,13
New transaction features on smart devices | Demo,2021-05-26T18:03:25Z,1455,27,1
App Actions test tool | Demo,2021-05-26T18:02:54Z,2912,26,3
How to create your first App Action | Demo,2021-05-26T18:02:36Z,4860,53,2
One-click loyalty sign ups/sign-ins with Google Pay | Demo,2021-05-26T18:01:19Z,2454,20,0
App Actions overview,2021-05-26T16:06:51Z,33494,328,21
Debugging the smart home | Workshop,2021-05-24T20:49:05Z,1743,34,2
Google Maps Platform | Q&A,2021-05-24T20:39:41Z,1108,15,1
Extend an Android app to Google Assistant with App Actions | Workshop,2021-05-24T20:37:04Z,9439,131,14
One-click loyalty signup on Google Pay and Google Maps |  Workshop,2021-05-24T19:45:34Z,1441,20,1
Build an AR application using the WebXR API | Workshop,2021-05-24T19:42:18Z,44055,933,40
ARCore | Q&A,2021-05-21T20:47:04Z,2019,39,9
Google Pay | Q&A,2021-05-21T20:45:09Z,4093,35,6
"Understanding COGA, W3C's cognitive accessibility guidelines| Q&A",2021-05-21T20:41:35Z,1576,29,3
App Actions | Q&A,2021-05-21T20:40:04Z,1344,34,2
[DEPRECATING]  Top 11 Google Assistant announcements from Google I/O 2021,2021-05-20T20:30:03Z,17589,283,16
The future is Africa: African developers are building for the world | Session,2021-05-20T08:28:13Z,5420,236,27
Getting started with Project CHIP | Session,2021-05-19T23:45:14Z,8474,158,7
What’s new in smart home | Keynote,2021-05-19T23:15:13Z,26245,261,26
Increase AR realism and precision with Depth API | Session,2021-05-19T22:30:14Z,7172,190,7
Take AR anywhere with the Recording and Playback API | Session,2021-05-19T22:30:13Z,5180,123,10
New capabilities in ARCore | Keynote,2021-05-19T22:13:14Z,24857,713,41
Drive engagement and boost performance in your app with deep links | Session,2021-05-19T22:00:12Z,6495,106,3
Measure and grow your app with new innovations in Google Analytics | Session,2021-05-19T21:43:15Z,3066,66,2
How to drive conversions with Google Pay for Android | Session,2021-05-19T21:30:14Z,2537,34,1
What's new in Google Pay | Keynote,2021-05-19T21:13:12Z,16982,350,31
Exposure Notifications: Building infrastructure to serve 1M users | Session,2021-05-19T21:00:16Z,1697,65,5
Safety and occupancy with AI | Session,2021-05-19T21:00:13Z,1317,47,2
Building globally relevant products | Session,2021-05-19T19:58:15Z,1534,77,1
Machine learning for Accessibility | Session,2021-05-19T19:15:16Z,4091,104,7
Designing for accessibility in Android Studio and Jetpack Compose | Session,2021-05-19T19:15:13Z,1706,50,1
What's new in Android Accessibility | Session,2021-05-19T18:58:15Z,6605,136,16
The women building voice AI and their role in the voice revolution | Session,2021-05-19T17:00:13Z,7179,152,11
What's new in Google Assistant | Keynote,2021-05-19T16:45:14Z,29117,547,44
How to voicify your Android app | Session,2021-05-18T21:15:14Z,5510,138,15
Android shortcuts for Assistant | Session,2021-05-18T21:15:13Z,8315,119,8
Developer Keynote (Google I/O '21) - American Sign Language,2021-05-18T20:16:01Z,279353,0,171
Join the Adventure at Google I/O,2021-05-17T17:23:49Z,41254,1038,77
"Google I/O 2021, Android Studio 4.2, Google Play update, and more!",2021-05-13T21:00:21Z,17747,517,14
Collecting payments on Android,2021-05-13T16:00:11Z,6431,155,9
Google Pay API and web integration | Google Developers,2021-05-12T20:03:36Z,106656,1434,123
Tell me you’re a developer without telling me you're a developer,2021-05-12T16:00:08Z,8039,344,57
"Google Play updates, XD to Flutter v2.0, Open Saves storage for games, and more!",2021-05-06T21:06:51Z,8768,331,26
Join a #GoogleIO meetup at the I/O Community Lounge!,2021-05-05T18:30:04Z,7280,296,22
Dang’s story as a Google Developer Student Club lead,2021-05-03T16:00:00Z,14510,291,19
"Android 12 Developer Preview 3, Room auto-migrations, PHP on Cloud Functions, and more!",2021-04-29T21:00:00Z,7868,314,13
Join us for #GoogleIO!,2021-04-28T16:00:18Z,38281,1589,62
Why Arc chose a .dev domain name?,2021-04-27T17:03:34Z,11175,289,11
Why Byteboard chose a .dev domain name?,2021-04-27T17:03:07Z,1573,23,1
Why Fellow chose a .app domain name?,2021-04-27T17:01:46Z,1602,23,0
Why Friday chose a .app domain name?,2021-04-27T17:00:36Z,947,13,1
Why Pawsh chose a .app domain name?,2021-04-27T17:00:22Z,729,10,0
Why Inmotion chose a .app domain name?,2021-04-27T17:00:16Z,763,13,1
"Mobile app security, Firestore data bundles, New in Chrome 90, and more!",2021-04-22T21:00:03Z,8660,222,16
"Android Auto apps to production, AppSheet Automation, and more!",2021-04-15T21:13:15Z,12761,246,15
Rovio: Connecting play and profit,2021-04-08T21:57:29Z,3144,43,3
Nexon: The multiverse of multi-platform,2021-04-08T21:57:05Z,2022,23,2
NetEase: Navigating global launches,2021-04-08T21:56:42Z,4223,39,4
Niantic: Evolve the player experience,2021-04-08T21:56:17Z,11691,47,6
What are Google Developer Student Clubs?,2021-04-06T16:00:04Z,52872,1149,35
"Oboe C++ audio library, Ops Agent, Dart support for GitHub Actions, and more!",2021-04-01T21:00:29Z,12662,260,15
SpotHero - Payments DevTalks (#1),2021-03-31T17:01:05Z,4373,79,14
"Android 12 Developer Preview 2, Google People API, and more!",2021-03-25T21:00:47Z,8938,235,20
"Jetpack Tiles library for Wear OS, Google Play update, ML Kit now GA, and more!",2021-03-18T21:00:33Z,7866,169,6
"Flutter 2, Android Auto in Jetpack, Google Cloud Next ‘21, and much more!",2021-03-11T22:07:28Z,15183,313,16
Smart Home policy,2021-03-11T17:19:54Z,4736,104,8
"Female entrepreneurs share tips on how to thrive in the technology industry, as a woman.",2021-03-08T17:53:20Z,1376,30,1
Why Cloudflare chose a .dev domain name for their Workers product?,2021-03-08T17:52:58Z,2781,41,0
Why Snoop chose a .app domain name?,2021-03-08T17:52:36Z,1912,21,3
Why Minsar chose a .app domain name?,2021-03-08T17:52:10Z,870,10,2
Why Jemi chose a .app domain name?,2021-03-08T17:51:50Z,1581,20,0
Why a designer chose .dev for her domain name?,2021-03-08T17:51:23Z,920,8,1
Why Clubba chose a .app domain name?,2021-03-08T17:50:56Z,1670,13,0
Why Avo chose .app for their domain name?,2021-03-08T17:50:32Z,738,15,0
Why ADDKSKIN chose a .app domain name?,2021-03-08T17:50:03Z,480,4,0
"Sleep API, GKE Autopilot, BigQuery BI Engine, and more!",2021-03-04T21:59:30Z,8335,207,8
"Android 12 preview, Jetpack Compose Beta, Cloud Domains, and more!",2021-02-25T22:00:20Z,8927,247,15
